GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.repository,AbstractPagingAndSortingRepositoryImplJpa,47,18,0,0,13,5,10,4,10,4
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.repository,OperationRepositoryImplJpa,16,7,0,0,3,3,3,2,3,2
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.repository,UserRepositoryImplJpa,23,47,0,0,4,8,3,3,3,3
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.repository,RoleRepositoryImplJpa,16,7,0,0,3,3,3,2,3,2
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,SequenceConstants,3,0,0,0,1,0,1,0,1,0
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,QRoleImplJpa,26,55,0,0,2,8,1,3,1,3
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,OperationImplJpa,14,3,0,0,6,1,4,1,4,1
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,UserImplJpa,51,19,2,0,20,6,13,3,12,3
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,QOperationImplJpa,57,0,0,0,9,0,4,0,4,0
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,RoleImplJpa,36,9,0,0,13,3,8,1,8,1
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.jpa.entity,QUserImplJpa,90,51,0,0,4,10,2,2,2,2
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.database,SchemaGenerator,354,0,24,0,74,0,22,0,10,0
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.database,SchemaGenerator.Dialect,79,0,0,0,10,0,5,0,5,0
DigitalCollections: Blueprints 2 (Backend IMPL Jpa),de.digitalcollections.blueprints.crud.backend.impl.database.migration,V1_0_4__DML_Create_WMS_Roles,0,47,0,2,0,6,0,3,0,2
