19:42:24.780 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:42:24.788 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:42:24.789 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:42:27.731 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:42:27.740 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:42:27.741 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:42:31.497 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:42:31.503 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:42:31.504 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:42:34.619 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:42:34.626 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
