GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Store,ua.com.company.store.exceptions,ServiceException,16,0,0,0,8,0,4,0,4,0
Store,ua.com.company.store.controller.impl.executions,CommandSortProducts,32,22,2,2,8,7,3,2,1,2
Store,ua.com.company.store.controller.impl.executions,CommandSortProducts.new Comparator() {...},22,0,4,0,2,0,4,0,2,0
Store,ua.com.company.store.controller.impl.executions,CommandSortProducts.new Comparator() {...},2,20,1,3,0,2,1,3,0,2
Store,ua.com.company.store.controller.impl.executions,CommandMarkUserAsDefaulterExecution,8,49,4,4,2,11,4,2,0,2
Store,ua.com.company.store.controller.impl.executions,CommandDeleteUserExecution,72,0,8,0,15,0,6,0,2,0
Store,ua.com.company.store.controller.impl.executions,CommandSearchProduct,88,0,16,0,21,0,12,0,4,0
Store,ua.com.company.store.controller.impl.executions,CommandExecuteOrder,65,94,8,0,13,23,5,2,1,2
Store,ua.com.company.store.controller.impl.executions,CommandDeleteOrderExec,95,0,8,0,23,0,6,0,2,0
Store,ua.com.company.store.controller.impl.executions,CommandExecuteOrder.new Authenticator() {...},0,12,0,0,0,2,0,2,0,2
Store,ua.com.company.store.controller.impl.executions,CommandAddNewProductByAdminExecution,306,0,20,0,52,0,16,0,6,0
Store,ua.com.company.store.controller.impl.executions,CommandLoginFormExecution,244,0,20,0,55,0,15,0,5,0
Store,ua.com.company.store.controller.impl.executions,CommandCreatingNewOrder,87,0,4,0,21,0,4,0,2,0
Store,ua.com.company.store.controller.impl.executions,CommandSignUpFormExecution,223,0,12,0,49,0,10,0,4,0
Store,ua.com.company.store.model.dao.connection,JDBCConnectionPool,159,62,12,2,47,23,11,5,5,4
Store,ua.com.company.store.model.dao.connection,ConnectionPoolDataSource,70,0,0,0,13,0,2,0,2,0
Store,ua.com.company.store.controller,DefaultServlet,143,0,2,0,33,0,8,0,7,0
Store,ua.com.company.store.model.dao.exceptions,PersistException,10,0,0,0,4,0,2,0,2,0
Store,ua.com.company.store.controller.filters,FilterEqualsPasswords,78,0,6,0,16,0,7,0,4,0
Store,ua.com.company.store.controller.filters,EncodingFilter,37,0,4,0,11,0,6,0,4,0
Store,ua.com.company.store.validation.signup,EmailValidator,20,0,4,0,6,0,4,0,2,0
Store,ua.com.company.store.validation.signup,PasswordValidator,18,0,4,0,3,0,4,0,2,0
Store,ua.com.company.store.validation.signup,LoginValidator,18,0,4,0,3,0,4,0,2,0
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory.new CreatorDao() {...},0,15,0,0,0,2,0,2,0,2
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory.new CreatorDao() {...},6,9,0,0,1,1,1,1,1,1
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory.new CreatorDao() {...},6,9,0,0,1,1,1,1,1,1
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory.new CreatorDao() {...},6,9,0,0,1,1,1,1,1,1
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory.new CreatorDao() {...},0,15,0,0,0,2,0,2,0,2
Store,ua.com.company.store.model.dao.factory,MySqlDaoFactory,9,91,1,3,2,18,1,4,0,3
Store,ua.com.company.store.service,UserService.Holder,6,11,0,0,3,3,1,1,1,1
Store,ua.com.company.store.service,ImageService.Holder,17,0,0,0,6,0,2,0,2,0
Store,ua.com.company.store.service,ProductService,30,0,0,0,9,0,5,0,5,0
Store,ua.com.company.store.service,ProductImageService,25,0,0,0,9,0,4,0,4,0
Store,ua.com.company.store.service,OrderService,107,8,2,0,23,4,7,2,6,2
Store,ua.com.company.store.service,UserService,63,15,4,0,17,6,9,2,7,2
Store,ua.com.company.store.service,ProductImageService.Holder,17,0,0,0,6,0,2,0,2,0
Store,ua.com.company.store.service,ImageService,11,0,0,0,4,0,2,0,2,0
Store,ua.com.company.store.service,ProductService.Holder,17,0,0,0,6,0,2,0,2,0
Store,ua.com.company.store.service,OrderService.Holder,6,11,0,0,3,3,1,1,1,1
Store,ua.com.company.store.validation.login,LoginUpValidator,18,0,4,0,3,0,4,0,2,0
Store,ua.com.company.store.validation.login,PasswordUpValidator,18,0,4,0,3,0,4,0,2,0
Store,ua.com.company.store.model.dao.daoAbstract,AbstractDao,378,0,24,0,97,0,22,0,10,0
Store,ua.com.company.store.taglib,ShowDateTag,54,0,0,0,10,0,2,0,2,0
Store,ua.com.company.store.constants,Redirection,3,25,0,0,1,12,1,1,1,1
Store,ua.com.company.store.model.dao.impl,UserDAO,301,0,16,0,68,0,20,0,12,0
Store,ua.com.company.store.model.dao.impl,ProductImageDAO,366,0,24,0,96,0,27,0,15,0
Store,ua.com.company.store.model.dao.impl,ProductDAO,181,0,14,0,50,0,19,0,12,0
Store,ua.com.company.store.model.dao.impl,ImageDAO,49,0,0,0,22,0,11,0,11,0
Store,ua.com.company.store.model.dao.impl,OrderDAO,205,0,6,0,57,0,14,0,11,0
Store,ua.com.company.store.model.dto,ProductDto,43,0,0,0,18,0,9,0,9,0
Store,ua.com.company.store.model.dto,LoginDto,116,0,20,0,19,0,18,0,8,0
Store,ua.com.company.store.model.dto,SignUpDto,106,0,16,0,24,0,17,0,9,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},16,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},16,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},16,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},16,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},14,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},16,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},14,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},14,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},14,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandEnum.new CommandEnum() {...},15,0,0,0,4,0,1,0,1,0
Store,ua.com.company.store.controller.command,CommandFactory,6,0,0,0,3,0,2,0,2,0
Store,ua.com.company.store.controller.command,CommandEnum,227,0,6,0,27,0,10,0,7,0
Store,ua.com.company.store.validation,ValidatorAbstract,25,0,4,0,8,0,5,0,3,0
Store,ua.com.company.store.validation.products,PriceValidator,20,0,4,0,6,0,4,0,2,0
Store,ua.com.company.store.validation.products,ImageInformValidator,31,0,8,0,7,0,6,0,2,0
Store,ua.com.company.store.validation.products,DescriptionValidator,20,0,4,0,6,0,4,0,2,0
Store,ua.com.company.store.validation.products,TitleValidator,20,0,4,0,6,0,4,0,2,0
Store,ua.com.company.store.controller.impl.redirection,CommandPageNotFound,16,0,0,0,3,0,3,0,3,0
Store,ua.com.company.store.controller.impl.redirection,CommandChangeLocale,55,0,0,0,13,0,4,0,4,0
Store,ua.com.company.store.controller.impl.redirection,CommandLoginPage,16,0,0,0,3,0,3,0,3,0
Store,ua.com.company.store.controller.impl.redirection,CommandRemoveSession,102,0,4,0,21,0,4,0,2,0
Store,ua.com.company.store.controller.impl.redirection,CommandAdminPage,17,40,4,4,2,9,4,3,0,3
Store,ua.com.company.store.controller.impl.redirection,CommandSignUpPage,16,0,0,0,3,0,3,0,3,0
Store,ua.com.company.store.controller.impl.redirection,CommandHomePageCommand,31,26,1,1,6,6,2,2,1,2
Store,ua.com.company.store.locale,MessageLocale,17,0,0,0,5,0,3,0,3,0
Store,ua.com.company.store.locale,AppLocale,113,0,6,0,17,0,11,0,8,0
Store,ua.com.company.store.model.entity,Product.ProductBuilder,49,0,0,0,17,0,12,0,12,0
Store,ua.com.company.store.model.entity,Entity,16,0,0,0,8,0,4,0,4,0
Store,ua.com.company.store.model.entity,User.UserBuilder,57,0,0,0,20,0,14,0,14,0
Store,ua.com.company.store.model.entity,Image.ImageBuilder,32,0,0,0,11,0,8,0,8,0
Store,ua.com.company.store.model.entity,Order.OrderBuilder,48,0,0,0,17,0,12,0,12,0
Store,ua.com.company.store.model.entity,User,209,0,36,0,29,0,28,0,10,0
Store,ua.com.company.store.model.entity,Order,55,0,0,0,11,0,6,0,6,0
Store,ua.com.company.store.model.entity,Product,67,0,0,0,13,0,7,0,7,0
Store,ua.com.company.store.model.entity,Image,40,0,0,0,7,0,4,0,4,0
Store,ua.com.company.store.utils,JDBCConnectionPoolManager,4,8,0,0,2,4,1,3,1,3
Store,ua.com.company.store.utils,CookiesAction,77,34,6,4,18,9,7,3,3,2
Store,ua.com.company.store.utils,CommandKeyGenerator,32,0,0,0,6,0,2,0,2,0
Store,ua.com.company.store.utils,JDBCConnectionPoolManager.Holder,3,6,0,0,1,1,1,1,1,1
Store,ua.com.company.store.utils,RedirectionManager.Holder,8,0,0,0,2,0,2,0,2,0
Store,ua.com.company.store.utils,SessionManager.Holder,8,0,0,0,2,0,2,0,2,0
Store,ua.com.company.store.utils,RedirectionManager,85,5,2,0,17,2,7,1,6,1
Store,ua.com.company.store.utils,ServletWrapper,23,0,0,0,10,0,5,0,5,0
Store,ua.com.company.store.utils,SessionManager,80,0,10,0,19,0,12,0,7,0
Store,ua.com.company.store.tag,UserDataTag,43,0,0,0,11,0,4,0,4,0
Store,ua.com.company.store.model.entity.additional,UserProduct,46,0,0,0,20,0,10,0,10,0
Store,ua.com.company.store.model.entity.additional,ProductImage,47,21,0,0,17,8,11,2,11,2
Store,ua.com.company.store.hashing,PasswordHashing.Holder,3,6,0,0,1,1,1,1,1,1
Store,ua.com.company.store.hashing,PasswordHashing,12,76,0,4,4,18,0,5,0,3
